"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 11 14:26:21 GMT 2024","Fri Oct 11 14:26:21 GMT 2024","176","test.teams","test_get_team","","","","test_view_team_with_non_existent_id_returns_404",""
"passed","Fri Oct 11 14:26:28 GMT 2024","Fri Oct 11 14:26:28 GMT 2024","196","test.teams","test_get_users_team","","","","test_filter_active_users_using_primary_filter_returns_200",""
"passed","Fri Oct 11 14:26:26 GMT 2024","Fri Oct 11 14:26:26 GMT 2024","138","test.teams","test_get_teams","","","","test_get_teams_unauthenticated_user_returns_http_401",""
"passed","Fri Oct 11 14:26:56 GMT 2024","Fri Oct 11 14:26:56 GMT 2024","273","test.users","test_post_user","","","","test_create_user_with_valid_roles_ids_returns_200",""
"passed","Fri Oct 11 14:26:35 GMT 2024","Fri Oct 11 14:26:35 GMT 2024","180","test.teams","test_post_users_team","","","","test_link_users_to_team_with_non_existent_id_returns_404",""
"passed","Fri Oct 11 14:26:15 GMT 2024","Fri Oct 11 14:26:16 GMT 2024","410","test.teams","test_delete_team","","","","test_delete_already_deleted_team_returns_404",""
"passed","Fri Oct 11 14:26:24 GMT 2024","Fri Oct 11 14:26:24 GMT 2024","166","test.teams","test_get_teams","","","","test_get_teams_with_maxsize_200_returns_200",""
"passed","Fri Oct 11 14:26:50 GMT 2024","Fri Oct 11 14:26:50 GMT 2024","173","test.users","test_get_users","","","","test_list_users_with_internal_type_returns_200",""
"passed","Fri Oct 11 14:26:26 GMT 2024","Fri Oct 11 14:26:26 GMT 2024","170","test.teams","test_get_teams","","","","test_get_teams_with_order_desc_returns_descending_results_200",""
"passed","Fri Oct 11 14:26:56 GMT 2024","Fri Oct 11 14:26:57 GMT 2024","225","test.users","test_post_user","","","","test_create_user_with_valid_working_time_calendar_id_returns_200",""
"passed","Fri Oct 11 14:26:52 GMT 2024","Fri Oct 11 14:26:53 GMT 2024","222","test.users","test_post_user","","","","test_create_user_with_valid_user_name_length_and_characters_returns_200",""
"passed","Fri Oct 11 14:26:37 GMT 2024","Fri Oct 11 14:26:37 GMT 2024","155","test.teams","test_post_users_team","","","","test_user_without_permissions_cannot_access_link_user_teams_module_returns_403",""
"passed","Fri Oct 11 14:26:19 GMT 2024","Fri Oct 11 14:26:20 GMT 2024","167","test.teams","test_delete_user_team","","","","test_unlink_user_teams_unauthenticated_user_returns_http_401",""
"skipped","Fri Oct 11 14:26:51 GMT 2024","Fri Oct 11 14:26:51 GMT 2024","175","test.users","test_get_users","","","","test_negative_max_size_returns_400",""
"passed","Fri Oct 11 14:26:45 GMT 2024","Fri Oct 11 14:26:45 GMT 2024","172","test.teams","test_put_team","","","","test_update_team_with_non_existent_id_returns_404",""
"passed","Fri Oct 11 14:26:54 GMT 2024","Fri Oct 11 14:26:54 GMT 2024","229","test.users","test_post_user","","","","test_create_user_with_valid_email_address_returns_200",""
"passed","Fri Oct 11 14:26:19 GMT 2024","Fri Oct 11 14:26:19 GMT 2024","164","test.teams","test_delete_user_team","","","","test_unlink_user_with_non_existent_id_returns_404",""
"skipped","Fri Oct 11 14:26:29 GMT 2024","Fri Oct 11 14:26:29 GMT 2024","174","test.teams","test_post_team","","","","test_create_team_with_empty_name_returns_400",""
"passed","Fri Oct 11 14:26:26 GMT 2024","Fri Oct 11 14:26:26 GMT 2024","180","test.teams","test_get_teams","","","","test_user_without_permissions_cannot_access_teams_module_returns_403",""
"skipped","Fri Oct 11 14:26:24 GMT 2024","Fri Oct 11 14:26:24 GMT 2024","162","test.teams","test_get_teams","","","","test_get_teams_with_maxsize_below_0_returns_400",""
"passed","Fri Oct 11 14:26:14 GMT 2024","Fri Oct 11 14:26:14 GMT 2024","201","test.teams","test_delete_team","","","","test_unauthenticated_user_cannot_delete_team_returns_401",""
"passed","Fri Oct 11 14:26:24 GMT 2024","Fri Oct 11 14:26:24 GMT 2024","146","test.teams","test_get_teams","","","","test_get_teams_with_maxsize_exceeding_limit_returns_403",""
"passed","Fri Oct 11 14:26:17 GMT 2024","Fri Oct 11 14:26:17 GMT 2024","164","test.teams","test_delete_user_team","","","","test_unlink_user_from_non_existent_team_id_returns_404",""
"passed","Fri Oct 11 14:26:55 GMT 2024","Fri Oct 11 14:26:56 GMT 2024","295","test.users","test_post_user","","","","test_create_user_with_valid_default_team_id_returns_200",""
"passed","Fri Oct 11 14:26:58 GMT 2024","Fri Oct 11 14:26:58 GMT 2024","225","test.users","test_put_user","","","","test_update_user_with_all_required_and_valid_values_returns_200",""
"passed","Fri Oct 11 14:26:52 GMT 2024","Fri Oct 11 14:26:52 GMT 2024","266","test.users","test_post_user","","","","test_create_user_with_all_required_valid_values_returns_200",""
"skipped","Fri Oct 11 14:26:49 GMT 2024","Fri Oct 11 14:26:50 GMT 2024","343","test.users","test_get_user","","","","test_get_deleted_user_returns_404",""
"passed","Fri Oct 11 14:26:53 GMT 2024","Fri Oct 11 14:26:53 GMT 2024","252","test.users","test_post_user","","","","test_create_user_with_valid_last_name_up_to_100_characters_returns_200",""
"passed","Fri Oct 11 14:27:02 GMT 2024","Fri Oct 11 14:27:02 GMT 2024","212","test.users","test_put_user","","","","test_update_user_with_invalid_layout_set_id_returns_403",""
"passed","Fri Oct 11 14:26:23 GMT 2024","Fri Oct 11 14:26:24 GMT 2024","171","test.teams","test_get_teams","","","","test_get_teams_with_nonexistent_field_ignored_returns_200",""
"passed","Fri Oct 11 14:26:14 GMT 2024","Fri Oct 11 14:26:14 GMT 2024","196","test.teams","test_delete_team","","","","test_delete_team_with_non_existent_id_returns_404",""
"passed","Fri Oct 11 14:26:57 GMT 2024","Fri Oct 11 14:26:57 GMT 2024","224","test.users","test_post_user","","","","test_create_user_with_valid_layout_set_id_returns_200",""
